,first,second
0,You never give up and find it difficult to change your mind or course in mid-stream.,"Whatever you have set your sights on, you refuse to give up or let go of it."
1,You never give up and find it difficult to change your mind or course in mid-stream.,You are patient and usually slow to anger unless someone takes you too far.
2,You never give up and find it difficult to change your mind or course in mid-stream.,You are reliable and consistent and can handle more of the workload than most around you.
3,You never give up and find it difficult to change your mind or course in mid-stream.,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
4,You never give up and find it difficult to change your mind or course in mid-stream.,You enjoy building and seeing the results of your hard work.
5,You never give up and find it difficult to change your mind or course in mid-stream.,"Keeping things going is your strength, especially once someone else starts them."
6,You never give up and find it difficult to change your mind or course in mid-stream.,Money and possessions are important to you for the feelings of security they bring.
7,You never give up and find it difficult to change your mind or course in mid-stream.,You are handy with your hands and may be ambidextrous or mechanically inclined.
8,You never give up and find it difficult to change your mind or course in mid-stream.,Debate and argument appeal to you.
9,You never give up and find it difficult to change your mind or course in mid-stream.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
10,You never give up and find it difficult to change your mind or course in mid-stream.,"You are very direct in thought, action, and speech and everyone knows how you feel."
11,You never give up and find it difficult to change your mind or course in mid-stream.,"You are adventurous, courageous, and independent."
12,You never give up and find it difficult to change your mind or course in mid-stream.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
13,You never give up and find it difficult to change your mind or course in mid-stream.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
14,You never give up and find it difficult to change your mind or course in mid-stream.,Your mind is deep and analytical and you probably have a good head for numbers.
15,You never give up and find it difficult to change your mind or course in mid-stream.,Your work is usually neat and orderly and you dislike messes and dirt.
16,You never give up and find it difficult to change your mind or course in mid-stream.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
17,You never give up and find it difficult to change your mind or course in mid-stream.,"You are usually outspoken, sometimes to the point of bluntness."
18,You never give up and find it difficult to change your mind or course in mid-stream.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
19,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are patient and usually slow to anger unless someone takes you too far.
20,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are reliable and consistent and can handle more of the workload than most around you.
21,"Whatever you have set your sights on, you refuse to give up or let go of it.","You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
22,"Whatever you have set your sights on, you refuse to give up or let go of it.",You enjoy building and seeing the results of your hard work.
23,"Whatever you have set your sights on, you refuse to give up or let go of it.","Keeping things going is your strength, especially once someone else starts them."
24,"Whatever you have set your sights on, you refuse to give up or let go of it.",Money and possessions are important to you for the feelings of security they bring.
25,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are handy with your hands and may be ambidextrous or mechanically inclined.
26,"Whatever you have set your sights on, you refuse to give up or let go of it.",Debate and argument appeal to you.
27,"Whatever you have set your sights on, you refuse to give up or let go of it.",You grasp concepts easily and may become impatient with those who don't learn as quickly.
28,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are very direct in thought, action, and speech and everyone knows how you feel."
29,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are adventurous, courageous, and independent."
30,"Whatever you have set your sights on, you refuse to give up or let go of it.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
31,"Whatever you have set your sights on, you refuse to give up or let go of it.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
32,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your mind is deep and analytical and you probably have a good head for numbers.
33,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your work is usually neat and orderly and you dislike messes and dirt.
34,"Whatever you have set your sights on, you refuse to give up or let go of it.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
35,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are usually outspoken, sometimes to the point of bluntness."
36,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
37,You are patient and usually slow to anger unless someone takes you too far.,You are reliable and consistent and can handle more of the workload than most around you.
38,You are patient and usually slow to anger unless someone takes you too far.,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
39,You are patient and usually slow to anger unless someone takes you too far.,You enjoy building and seeing the results of your hard work.
40,You are patient and usually slow to anger unless someone takes you too far.,"Keeping things going is your strength, especially once someone else starts them."
41,You are patient and usually slow to anger unless someone takes you too far.,Money and possessions are important to you for the feelings of security they bring.
42,You are patient and usually slow to anger unless someone takes you too far.,You are handy with your hands and may be ambidextrous or mechanically inclined.
43,You are patient and usually slow to anger unless someone takes you too far.,Debate and argument appeal to you.
44,You are patient and usually slow to anger unless someone takes you too far.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
45,You are patient and usually slow to anger unless someone takes you too far.,"You are very direct in thought, action, and speech and everyone knows how you feel."
46,You are patient and usually slow to anger unless someone takes you too far.,"You are adventurous, courageous, and independent."
47,You are patient and usually slow to anger unless someone takes you too far.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
48,You are patient and usually slow to anger unless someone takes you too far.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
49,You are patient and usually slow to anger unless someone takes you too far.,Your mind is deep and analytical and you probably have a good head for numbers.
50,You are patient and usually slow to anger unless someone takes you too far.,Your work is usually neat and orderly and you dislike messes and dirt.
51,You are patient and usually slow to anger unless someone takes you too far.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
52,You are patient and usually slow to anger unless someone takes you too far.,"You are usually outspoken, sometimes to the point of bluntness."
53,You are patient and usually slow to anger unless someone takes you too far.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
54,You are reliable and consistent and can handle more of the workload than most around you.,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
55,You are reliable and consistent and can handle more of the workload than most around you.,You enjoy building and seeing the results of your hard work.
56,You are reliable and consistent and can handle more of the workload than most around you.,"Keeping things going is your strength, especially once someone else starts them."
57,You are reliable and consistent and can handle more of the workload than most around you.,Money and possessions are important to you for the feelings of security they bring.
58,You are reliable and consistent and can handle more of the workload than most around you.,You are handy with your hands and may be ambidextrous or mechanically inclined.
59,You are reliable and consistent and can handle more of the workload than most around you.,Debate and argument appeal to you.
60,You are reliable and consistent and can handle more of the workload than most around you.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
61,You are reliable and consistent and can handle more of the workload than most around you.,"You are very direct in thought, action, and speech and everyone knows how you feel."
62,You are reliable and consistent and can handle more of the workload than most around you.,"You are adventurous, courageous, and independent."
63,You are reliable and consistent and can handle more of the workload than most around you.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
64,You are reliable and consistent and can handle more of the workload than most around you.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
65,You are reliable and consistent and can handle more of the workload than most around you.,Your mind is deep and analytical and you probably have a good head for numbers.
66,You are reliable and consistent and can handle more of the workload than most around you.,Your work is usually neat and orderly and you dislike messes and dirt.
67,You are reliable and consistent and can handle more of the workload than most around you.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
68,You are reliable and consistent and can handle more of the workload than most around you.,"You are usually outspoken, sometimes to the point of bluntness."
69,You are reliable and consistent and can handle more of the workload than most around you.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
70,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",You enjoy building and seeing the results of your hard work.
71,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","Keeping things going is your strength, especially once someone else starts them."
72,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",Money and possessions are important to you for the feelings of security they bring.
73,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",You are handy with your hands and may be ambidextrous or mechanically inclined.
74,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",Debate and argument appeal to you.
75,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",You grasp concepts easily and may become impatient with those who don't learn as quickly.
76,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You are very direct in thought, action, and speech and everyone knows how you feel."
77,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You are adventurous, courageous, and independent."
78,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
79,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
80,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",Your mind is deep and analytical and you probably have a good head for numbers.
81,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",Your work is usually neat and orderly and you dislike messes and dirt.
82,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
83,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You are usually outspoken, sometimes to the point of bluntness."
84,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
85,You enjoy building and seeing the results of your hard work.,"Keeping things going is your strength, especially once someone else starts them."
86,You enjoy building and seeing the results of your hard work.,Money and possessions are important to you for the feelings of security they bring.
87,You enjoy building and seeing the results of your hard work.,You are handy with your hands and may be ambidextrous or mechanically inclined.
88,You enjoy building and seeing the results of your hard work.,Debate and argument appeal to you.
89,You enjoy building and seeing the results of your hard work.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
90,You enjoy building and seeing the results of your hard work.,"You are very direct in thought, action, and speech and everyone knows how you feel."
91,You enjoy building and seeing the results of your hard work.,"You are adventurous, courageous, and independent."
92,You enjoy building and seeing the results of your hard work.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
93,You enjoy building and seeing the results of your hard work.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
94,You enjoy building and seeing the results of your hard work.,Your mind is deep and analytical and you probably have a good head for numbers.
95,You enjoy building and seeing the results of your hard work.,Your work is usually neat and orderly and you dislike messes and dirt.
96,You enjoy building and seeing the results of your hard work.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
97,You enjoy building and seeing the results of your hard work.,"You are usually outspoken, sometimes to the point of bluntness."
98,You enjoy building and seeing the results of your hard work.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
99,"Keeping things going is your strength, especially once someone else starts them.",Money and possessions are important to you for the feelings of security they bring.
100,"Keeping things going is your strength, especially once someone else starts them.",You are handy with your hands and may be ambidextrous or mechanically inclined.
101,"Keeping things going is your strength, especially once someone else starts them.",Debate and argument appeal to you.
102,"Keeping things going is your strength, especially once someone else starts them.",You grasp concepts easily and may become impatient with those who don't learn as quickly.
103,"Keeping things going is your strength, especially once someone else starts them.","You are very direct in thought, action, and speech and everyone knows how you feel."
104,"Keeping things going is your strength, especially once someone else starts them.","You are adventurous, courageous, and independent."
105,"Keeping things going is your strength, especially once someone else starts them.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
106,"Keeping things going is your strength, especially once someone else starts them.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
107,"Keeping things going is your strength, especially once someone else starts them.",Your mind is deep and analytical and you probably have a good head for numbers.
108,"Keeping things going is your strength, especially once someone else starts them.",Your work is usually neat and orderly and you dislike messes and dirt.
109,"Keeping things going is your strength, especially once someone else starts them.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
110,"Keeping things going is your strength, especially once someone else starts them.","You are usually outspoken, sometimes to the point of bluntness."
111,"Keeping things going is your strength, especially once someone else starts them.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
112,Money and possessions are important to you for the feelings of security they bring.,You are handy with your hands and may be ambidextrous or mechanically inclined.
113,Money and possessions are important to you for the feelings of security they bring.,Debate and argument appeal to you.
114,Money and possessions are important to you for the feelings of security they bring.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
115,Money and possessions are important to you for the feelings of security they bring.,"You are very direct in thought, action, and speech and everyone knows how you feel."
116,Money and possessions are important to you for the feelings of security they bring.,"You are adventurous, courageous, and independent."
117,Money and possessions are important to you for the feelings of security they bring.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
118,Money and possessions are important to you for the feelings of security they bring.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
119,Money and possessions are important to you for the feelings of security they bring.,Your mind is deep and analytical and you probably have a good head for numbers.
120,Money and possessions are important to you for the feelings of security they bring.,Your work is usually neat and orderly and you dislike messes and dirt.
121,Money and possessions are important to you for the feelings of security they bring.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
122,Money and possessions are important to you for the feelings of security they bring.,"You are usually outspoken, sometimes to the point of bluntness."
123,Money and possessions are important to you for the feelings of security they bring.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
124,You are handy with your hands and may be ambidextrous or mechanically inclined.,Debate and argument appeal to you.
125,You are handy with your hands and may be ambidextrous or mechanically inclined.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
126,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You are very direct in thought, action, and speech and everyone knows how you feel."
127,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You are adventurous, courageous, and independent."
128,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
129,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
130,You are handy with your hands and may be ambidextrous or mechanically inclined.,Your mind is deep and analytical and you probably have a good head for numbers.
131,You are handy with your hands and may be ambidextrous or mechanically inclined.,Your work is usually neat and orderly and you dislike messes and dirt.
132,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
133,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You are usually outspoken, sometimes to the point of bluntness."
134,You are handy with your hands and may be ambidextrous or mechanically inclined.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
135,Debate and argument appeal to you.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
136,Debate and argument appeal to you.,"You are very direct in thought, action, and speech and everyone knows how you feel."
137,Debate and argument appeal to you.,"You are adventurous, courageous, and independent."
138,Debate and argument appeal to you.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
139,Debate and argument appeal to you.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
140,Debate and argument appeal to you.,Your mind is deep and analytical and you probably have a good head for numbers.
141,Debate and argument appeal to you.,Your work is usually neat and orderly and you dislike messes and dirt.
142,Debate and argument appeal to you.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
143,Debate and argument appeal to you.,"You are usually outspoken, sometimes to the point of bluntness."
144,Debate and argument appeal to you.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
145,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You are very direct in thought, action, and speech and everyone knows how you feel."
146,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You are adventurous, courageous, and independent."
147,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
148,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
149,You grasp concepts easily and may become impatient with those who don't learn as quickly.,Your mind is deep and analytical and you probably have a good head for numbers.
150,You grasp concepts easily and may become impatient with those who don't learn as quickly.,Your work is usually neat and orderly and you dislike messes and dirt.
151,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
152,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You are usually outspoken, sometimes to the point of bluntness."
153,You grasp concepts easily and may become impatient with those who don't learn as quickly.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
154,"You are very direct in thought, action, and speech and everyone knows how you feel.","You are adventurous, courageous, and independent."
155,"You are very direct in thought, action, and speech and everyone knows how you feel.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
156,"You are very direct in thought, action, and speech and everyone knows how you feel.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
157,"You are very direct in thought, action, and speech and everyone knows how you feel.",Your mind is deep and analytical and you probably have a good head for numbers.
158,"You are very direct in thought, action, and speech and everyone knows how you feel.",Your work is usually neat and orderly and you dislike messes and dirt.
159,"You are very direct in thought, action, and speech and everyone knows how you feel.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
160,"You are very direct in thought, action, and speech and everyone knows how you feel.","You are usually outspoken, sometimes to the point of bluntness."
161,"You are very direct in thought, action, and speech and everyone knows how you feel.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
162,"You are adventurous, courageous, and independent.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
163,"You are adventurous, courageous, and independent.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
164,"You are adventurous, courageous, and independent.",Your mind is deep and analytical and you probably have a good head for numbers.
165,"You are adventurous, courageous, and independent.",Your work is usually neat and orderly and you dislike messes and dirt.
166,"You are adventurous, courageous, and independent.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
167,"You are adventurous, courageous, and independent.","You are usually outspoken, sometimes to the point of bluntness."
168,"You are adventurous, courageous, and independent.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
169,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
170,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",Your mind is deep and analytical and you probably have a good head for numbers.
171,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",Your work is usually neat and orderly and you dislike messes and dirt.
172,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
173,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.","You are usually outspoken, sometimes to the point of bluntness."
174,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
175,"You have common sense and the ability to manage others, but may be a bit of a perfectionist.",Your mind is deep and analytical and you probably have a good head for numbers.
176,"You have common sense and the ability to manage others, but may be a bit of a perfectionist.",Your work is usually neat and orderly and you dislike messes and dirt.
177,"You have common sense and the ability to manage others, but may be a bit of a perfectionist.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
178,"You have common sense and the ability to manage others, but may be a bit of a perfectionist.","You are usually outspoken, sometimes to the point of bluntness."
179,"You have common sense and the ability to manage others, but may be a bit of a perfectionist.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
180,Your mind is deep and analytical and you probably have a good head for numbers.,Your work is usually neat and orderly and you dislike messes and dirt.
181,Your mind is deep and analytical and you probably have a good head for numbers.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
182,Your mind is deep and analytical and you probably have a good head for numbers.,"You are usually outspoken, sometimes to the point of bluntness."
183,Your mind is deep and analytical and you probably have a good head for numbers.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
184,Your work is usually neat and orderly and you dislike messes and dirt.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
185,Your work is usually neat and orderly and you dislike messes and dirt.,"You are usually outspoken, sometimes to the point of bluntness."
186,Your work is usually neat and orderly and you dislike messes and dirt.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
187,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile.","You are usually outspoken, sometimes to the point of bluntness."
188,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
189,"You are usually outspoken, sometimes to the point of bluntness.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
