first,Debate and argument appeal to you.,"Keeping things going is your strength, especially once someone else starts them.",Money and possessions are important to you for the feelings of security they bring.,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are adventurous.,You are consistent.,You are courageous.,You are gentle.,You are handy with your hands.,You are independent.,You are patient unless someone takes you too far.,You are quiet.,You are reliable.,You are romantic.,You are sensitive.,You are sentimental.,You are shy.,"You are usually outspoken, sometimes to the point of bluntness.",You are usually slow to anger unless someone takes you too far.,"You are very direct in thought, action, and speech and everyone knows how you feel.",You can handle more of the workload than most around you.,You enjoy building and seeing the results of your hard work.,You grasp concepts easily.,You have common sense to manage others.,You have the ability to manage others.,You may be a bit of a perfectionist.,You may be ambidextrous or mechanically inclined.,You may become impatient with those who do n't learn as quickly.,You never find it difficult to change your mind or course in mid-stream.,You never give up.,"You prefer a regular routine, defined responsibilities.","You prefer a regular routine, defined tasks.",You tend to be dependable.,You tend to be friendly.,You tend to be honest.,You tend to be idealistic.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",You tend to be open-minded.,You tend to be optimistic.,You tend to be versatile.,Your mind is analytical.,Your mind is deep.,Your work is usually neat.,Your work is usually orderly.,you dislike dirt.,you dislike messes.,you probably have a good head for numbers.
Debate and argument appeal to you.,0.0,0.4773471210161795,0.8769005742428049,0.4901846964400741,0.459429873277951,0.4930720926855065,0.4814509555008707,0.9879076063122008,0.4786493346838708,0.4841241189355467,0.497521959290933,0.9994100238598708,0.4929900225345904,0.6396987715805128,0.8801290854427334,0.4863268954851834,0.973594385906694,0.4719579951052522,0.499537279530452,0.8473052946456855,0.4972263539924334,0.9626676578469006,0.4944702954427025,0.4939529514916221,0.460228443866193,0.4975260047874317,0.4960547066319901,0.499404225324589,0.4923410553636644,0.4734178366990696,0.993863091383915,0.9971789061351986,0.8242841575750728,0.6984220794301271,0.4823099782563172,0.4512325120645054,0.4925547935707552,0.4607588925342603,0.4940051328282778,0.4897101443801721,0.4231024959301703,0.4908189325976802,0.7496186318354409,0.6692477311543532,0.7741713526819755,0.4944058569369695,0.4962357692664682
"Keeping things going is your strength, especially once someone else starts them.",0.4773471210161795,0.0,0.4936679686386912,0.4757531000634233,0.4899360528844881,0.4922950677768817,0.4966938540569754,0.4940927550248784,0.4979073308532796,0.4868566201689833,0.45030883891692697,0.4975385479707448,0.4878433308102753,0.4813599756566844,0.6463708064569972,0.4862454663137003,0.9077223392434166,0.4980225123099088,0.4843154547242869,0.4969697219422372,0.4908902611920023,0.4971879985747364,0.4961087186270947,0.43561784689993,0.02270297752771671,0.49817408695542703,0.4982327497782885,0.4992765944152695,0.9385734325441316,0.484881676924973,0.4972724986857413,0.4973418658349651,0.4830727104346668,0.490856598930167,0.4937717426716177,0.4946000928306196,0.4969665130023998,0.4913121887508102,0.4985226872178831,0.495502096450315,0.4673687356912111,0.4967755391992776,0.4989179937822841,0.4971234055138817,0.49276674953044,0.4870817966773168,0.4920846584641457
Money and possessions are important to you for the feelings of security they bring.,0.8769005742428049,0.4936679686386912,0.0,0.4932060589133609,0.8800995379667981,0.4876330401949199,0.4951409079331177,0.4965980214580562,0.4947909765965698,0.4944696128495969,0.4984404261816283,0.4938412259159981,0.4940828643637162,0.4880983612640751,0.4975516970451674,0.4797408008793187,0.4932065537742419,0.49809053245930895,0.4980487214250933,0.4989660562361302,0.4890850820995814,0.4886918529110245,0.4975883270250217,0.4848532674066266,0.48500474572339297,0.4892565868241465,0.4872020268610958,0.4994151846622866,0.9387031461313182,0.4883062677548915,0.4937291294291954,0.4897263833796639,0.4869132496391855,0.4905988199568666,0.4956904297380112,0.4686416738876367,0.4977857099753619,0.7279144877115756,0.4976323605219786,0.4867752438604591,0.4972373536649946,0.4926236283526375,0.4721057913810324,0.4683553930717752,0.4727300535718668,0.4906766385886506,0.4957698736852046
"Whatever you have set your sights on, you refuse to give up or let go of it.",0.4901846964400741,0.4757531000634233,0.4932060589133609,0.0,0.4450387337170953,0.42265505032956346,0.4486621057899425,0.9558263182883282,0.4870316475406121,0.4379133934168275,0.9391719722546236,0.8233942464928703,0.4463080995413019,0.483368633801961,0.7840392071980576,0.4864890690076568,0.9978824490633004,0.4981004299362145,0.4991788437349481,0.4926091944755863,0.4943999796636738,0.4990952657971293,0.48747340573243,0.4872535957982549,0.4214393547859889,0.4819106635999377,0.4953870223332986,0.4993839500863238,0.9969448492434962,0.019935126869514697,0.487008560649015,0.4867134848000063,0.4412677366945915,0.4915263404869241,0.4547975823523072,0.4668165920761379,0.4899493279652187,0.95119459787227,0.4764251434024416,0.8999260011135186,0.4943021196509739,0.4943663884749455,0.4996134342527978,0.4981288818777104,0.48610272949096395,0.4910077729290475,0.4995722311694521
You are adventurous.,0.459429873277951,0.4899360528844881,0.8800995379667981,0.4450387337170953,0.0,0.9983679509569036,0.03908306125447183,0.9974027556287396,0.3257875969086864,0.12276264758417176,0.9457715748082384,0.9992330001520148,0.9941547277163421,0.8465554753877021,0.9977438207488281,0.9980301398191868,0.9992018161306401,0.4803701639844769,0.4990499001485245,0.9884551904251752,0.4888539108093946,0.4960545112584066,0.4627170851497087,0.8256781912743814,0.4729022859157377,0.984974358517082,0.4752957606770939,0.4992299057682982,0.4698687607190442,0.15860101223961526,0.9973764289874636,0.9972314210538732,0.9915830303029208,0.7283902957590221,0.6764969983824161,0.7482886840351601,0.9789576696043089,0.04033326126579564,0.3192982668155159,0.04286202827226004,0.9737336170649852,0.3974183510554717,0.8306800999645952,0.8702614862592539,0.9744916153195672,0.9542067441725219,0.4614175828683074
You are consistent.,0.4930720926855065,0.4922950677768817,0.4876330401949199,0.42265505032956346,0.9983679509569036,0.0,0.37624345376218776,0.4360619725265502,0.4542408982371549,0.13225247357525288,0.4909731527961452,0.1610992804618759,0.009683509087047518,0.7020959522258153,0.8772514236459135,0.9072645550822164,0.8604572427023679,0.4976727258628838,0.4987425362018106,0.479865148537014,0.4916657999358477,0.4985603044330561,0.472162489235313,0.4657442399028277,0.4263167282116998,0.4965798304604584,0.9751757408454126,0.4991529474533978,0.9976503161928648,0.0388090206539792,0.457601854050376,0.39659789737177975,0.01809630773906562,0.4963977334209522,0.3996824225399881,0.4926771639352721,0.07828451015198046,0.9567971456580878,0.4961425142270263,0.9944185960416664,0.4725732616840008,0.4770685221849644,0.4958704231986259,0.4859384183806669,0.492747891094871,0.4838513378354407,0.4990256392694834
You are courageous.,0.4814509555008707,0.4966938540569754,0.4951409079331177,0.4486621057899425,0.03908306125447183,0.37624345376218776,0.0,0.9959904436659314,0.4217734184467483,0.21406438053644075,0.8868547176449417,0.9980573320124808,0.3489283242816541,0.9628368237816184,0.9831156147608208,0.9862721993105812,0.9990746009656422,0.4850940563486149,0.4990222230304511,0.4933906657279571,0.4929844510174189,0.4959765263188434,0.4794939157184733,0.4864026529299034,0.407918855334998,0.4985321791937207,0.4704292496659114,0.4993715007326816,0.4949575157944927,0.09359419378459367,0.4716618865569122,0.4526813613255994,0.4233757188596701,0.4845453939793813,0.4373279656468864,0.4749314878745649,0.6713258034632132,0.3855467107635693,0.3823749577799292,0.3654558953089138,0.4626795123934381,0.4517527327788526,0.4987893463217969,0.4977745939506035,0.8126393644395612,0.6520627494119421,0.4983416738332661
You are gentle.,0.9879076063122008,0.4940927550248784,0.4965980214580562,0.9558263182883282,0.9974027556287396,0.4360619725265502,0.9959904436659314,0.0,0.6613656052388164,0.9640093635569652,0.4901942749782383,0.09677624897489992,0.3802678707274461,0.5996787512493418,0.13219046375957544,0.4354044882656874,0.5657014593019429,0.9990527075227154,0.4964423289337313,0.9991996738232772,0.4972192715687802,0.4986443029762278,0.4788167287591792,0.4578579208476875,0.4866047909326322,0.972009928397792,0.4801283046448018,0.9991255307409864,0.4965761669032989,0.9573274927870592,0.4948658945442354,0.4850816904721061,0.3771328991674073,0.10687640211212826,0.869834026423288,0.4852474572320751,0.9808134381246147,0.4158936639583582,0.4885189035553992,0.44992700173267547,0.9989601469535716,0.4872696646905501,0.4992741957421982,0.4990124324501058,0.4859363391062867,0.4930351044910877,0.4988326326812865
You are handy with your hands.,0.4786493346838708,0.4979073308532796,0.4947909765965698,0.4870316475406121,0.3257875969086864,0.4542408982371549,0.4217734184467483,0.6613656052388164,0.0,0.42419676323231387,0.4946948062224695,0.8051668272605266,0.4292290855286588,0.8320114275041147,0.9406543700830712,0.8789107379386508,0.9655897182329088,0.4979217385875965,0.4992011669649917,0.4448985327947296,0.4962733088133554,0.4989537342361939,0.4464329010015593,0.4704462481933047,0.4130307105197428,0.4982070673891174,0.46027567776550604,0.4994543199387117,0.4946035481082959,0.4765799172222712,0.4945123114187203,0.4950840503540392,0.4034180205579168,0.4891808818219259,0.4918633328014042,0.4777866326297613,0.4399042954140114,0.4830284634607538,0.4890155720645604,0.409841647671416,0.491545432094585,0.4923229682848889,0.4979203545548327,0.4971363217943463,0.705032032793833,0.4930603996951899,0.4957592518163197
You are independent.,0.4841241189355467,0.4868566201689833,0.4944696128495969,0.4379133934168275,0.12276264758417176,0.13225247357525288,0.21406438053644075,0.9640093635569652,0.42419676323231387,0.0,0.4930675862846397,0.4403028456586093,0.10774741157059964,0.9301945566900384,0.9712972817084732,0.9957856675822142,0.9990559201057636,0.4960141003817859,0.4991125220050243,0.4952043281238219,0.482130807920237,0.4981612320723702,0.4795829242642182,0.4665552370087682,0.1609405451421169,0.4986227267130597,0.4620714521471206,0.4993517475975402,0.4807421796538424,0.13186360485183227,0.4955890404454051,0.4898699772782462,0.8829182444086047,0.4934917413242948,0.4715401775646371,0.4851747388301551,0.4240265595394403,0.4050656971736867,0.4898144243461483,0.1918994710954923,0.4810906947045209,0.4843281414322225,0.4994708496027239,0.4992703985638797,0.4916660905746149,0.4892696448208918,0.4984030051355106
You are patient unless someone takes you too far.,0.497521959290933,0.45030883891692697,0.4984404261816283,0.9391719722546236,0.9457715748082384,0.4909731527961452,0.8868547176449417,0.4901942749782383,0.4946948062224695,0.4930675862846397,0.0,0.4907645985584931,0.4914220527254665,0.4860235196646727,0.4946182226994733,0.4847030560871122,0.49318835009309203,0.8659641796868643,0.007679010252381898,0.9820505461771428,0.498759446939166,0.4943316168743264,0.4961760161092921,0.4967936759933268,0.4985191892591233,0.4928918503654736,0.498278431408447,0.4804007211543642,0.7907042275261548,0.4975653690387142,0.4990386114307621,0.4988060365290095,0.4879229137499825,0.4907459382079541,0.4917352005858635,0.4964227167250067,0.4984111122665211,0.4929150258631282,0.4971917663951703,0.4933249079772307,0.4710850759365093,0.4968854284398613,0.4981905302953522,0.4986213511237348,0.4950199474135131,0.495059560180281,0.4888715397259221
You are quiet.,0.9994100238598708,0.4975385479707448,0.4938412259159981,0.8233942464928703,0.9992330001520148,0.1610992804618759,0.9980573320124808,0.09677624897489992,0.8051668272605266,0.4403028456586093,0.4907645985584931,0.0,0.3690787546693351,0.9727338838914708,0.4294242736324486,0.9885892686630772,0.0748736887325278,0.999411928979736,0.4983266902085246,0.9994808747847236,0.4982766734579603,0.4985897647883545,0.4947349425710338,0.4906937074080596,0.4762652004981772,0.498399815670772,0.4479770147054261,0.4993687873156602,0.9851955384912516,0.9240984354415772,0.4948193774491935,0.4855574019173388,0.43810465671382537,0.495851386484751,0.4909972265906988,0.4952245425105086,0.6432657930780278,0.4948870133435634,0.8152981898213874,0.47877732864055894,0.9703027681427716,0.4939510727287548,0.4991186696611805,0.4981390062183965,0.4943082195360512,0.4867744205027949,0.4995374021081777
You are reliable.,0.4929900225345904,0.4878433308102753,0.4940828643637162,0.4463080995413019,0.9941547277163421,0.009683509087047518,0.3489283242816541,0.3802678707274461,0.4292290855286588,0.10774741157059964,0.4914220527254665,0.3690787546693351,0.0,0.9442818408333464,0.8692524682536323,0.8674670025381817,0.9709940594598704,0.4980976821163808,0.4984445217624224,0.4951465833667973,0.4945642241917456,0.4971082144557424,0.4785858021368145,0.4669248183259418,0.3648219675417405,0.4982225044593551,0.4782060763015644,0.4993424912515749,0.98210389475575,0.08104388650187579,0.4935307451986794,0.4789105913739605,0.0070014526520450005,0.4901938597204114,0.36902531580838055,0.912582496392046,0.3503135458776272,0.4919313669222338,0.4905300373755506,0.8829261449264542,0.481562060535289,0.4782013953993703,0.4992675894058747,0.4969261526537293,0.6512031349094842,0.4814279062749489,0.4988838689396185
You are romantic.,0.6396987715805128,0.4813599756566844,0.4880983612640751,0.483368633801961,0.8465554753877021,0.7020959522258153,0.9628368237816184,0.5996787512493418,0.8320114275041147,0.9301945566900384,0.4860235196646727,0.9727338838914708,0.9442818408333464,0.0,0.6554299970574596,0.040575460572266686,0.9902464025757562,0.4970395135481021,0.4975771898553195,0.8583156436903842,0.4887511046410648,0.4955759531876847,0.4469892751025099,0.8178377071947514,0.47059409559976206,0.4974871023632678,0.492206756077961,0.499058932032745,0.4871593832333287,0.4632153049602133,0.4931239640878342,0.4913131881599765,0.4442998664473761,0.3770148664867256,0.8064722262742077,0.13571996224458474,0.8784471421831179,0.4854502275248737,0.10480993211982463,0.4354932372464244,0.9975885035023112,0.4897744667381894,0.4987704696780279,0.4977833428002874,0.4539825787692799,0.4914772252780037,0.9637613825772016
You are sensitive.,0.8801290854427334,0.6463708064569972,0.4975516970451674,0.7840392071980576,0.9977438207488281,0.8772514236459135,0.9831156147608208,0.13219046375957544,0.9406543700830712,0.9712972817084732,0.4946182226994733,0.4294242736324486,0.8692524682536323,0.6554299970574596,0.0,0.0280219475309552,0.116716614242974,0.9635656597923754,0.4974217667064252,0.9674923961947384,0.7916740901185413,0.4633380602808083,0.4178546734382211,0.4865982367071228,0.7325374652686297,0.4872979219622035,0.4674193313797193,0.4992354592115322,0.9568389456698556,0.7374624351053473,0.4898645821809864,0.4668179682426602,0.4635690007447426,0.43469878823588176,0.4675106913848988,0.4744963161865917,0.5294227749045052,0.4680233616491301,0.8515124816360886,0.911233716739804,0.9806791677957704,0.4206087069368951,0.4985814719232109,0.49838637438094197,0.4902527312846382,0.4824112158239657,0.4973823065207927
You are sentimental.,0.4863268954851834,0.4862454663137003,0.4797408008793187,0.4864890690076568,0.9980301398191868,0.9072645550822164,0.9862721993105812,0.4354044882656874,0.8789107379386508,0.9957856675822142,0.4847030560871122,0.9885892686630772,0.8674670025381817,0.040575460572266686,0.0280219475309552,0.0,0.9471901845498628,0.8898464193638396,0.4956392112478457,0.9939732003025776,0.4968539403568607,0.4968509833586621,0.44842950726278974,0.7628815268354698,0.8239489669621454,0.4787318005275059,0.4114352409823984,0.49844530910741097,0.9315491983970076,0.4773510383405553,0.4871950032300354,0.4854421596474631,0.3468725643158081,0.4818403536068524,0.4678682975707301,0.27337557519768946,0.9756220322621258,0.9345948006493768,0.8961826116780324,0.9681719813315848,0.9941794702818184,0.4731402525833992,0.4931235314713615,0.4920957556523459,0.4593858334177859,0.44709717600179466,0.931463451448316
You are shy.,0.973594385906694,0.9077223392434166,0.4932065537742419,0.9978824490633004,0.9992018161306401,0.8604572427023679,0.9990746009656422,0.5657014593019429,0.9655897182329088,0.9990559201057636,0.49318835009309203,0.0748736887325278,0.9709940594598704,0.9902464025757562,0.116716614242974,0.9471901845498628,0.0,0.9991734903989856,0.494452274813975,0.9993883538351088,0.8348233464482215,0.7926691196944333,0.8651613634554447,0.8188508688314124,0.9503194963326708,0.496427272384248,0.4398695616063957,0.4993227375868054,0.9928685061656176,0.9988073047189924,0.4827372192576456,0.4534742158487389,0.9088227940350596,0.9747698403572151,0.8454246711134417,0.7616380151482303,0.015292362241411547,0.9735731414445038,0.9284359254041772,0.9812239314393392,0.8768565793069439,0.9402180989471468,0.4982281442909332,0.4976780747724329,0.4793251241332118,0.4855246728413403,0.8540592914700395
"You are usually outspoken, sometimes to the point of bluntness.",0.4719579951052522,0.4980225123099088,0.49809053245930895,0.4981004299362145,0.4803701639844769,0.4976727258628838,0.4850940563486149,0.9990527075227154,0.4979217385875965,0.4960141003817859,0.8659641796868643,0.999411928979736,0.4980976821163808,0.4970395135481021,0.9635656597923754,0.8898464193638396,0.9991734903989856,0.0,0.9471402391224959,0.10544033365046572,0.499370171222391,0.4989136299235848,0.4981061975314887,0.4977457371906074,0.4983135371838544,0.4943089736633571,0.4991565715930904,0.4986282739096394,0.4417199865876607,0.4870779283148115,0.4982128111746972,0.4976369289233358,0.8695739791009343,0.8418509656621348,0.35494918581506435,0.4916092553885228,0.9965845572571932,0.4968801604438186,0.4959210403364655,0.493737637115693,0.49718958701523996,0.495603922298824,0.8710855587096418,0.6627570916239252,0.49469615677238,0.4917426109908634,0.498131824430592
You are usually slow to anger unless someone takes you too far.,0.499537279530452,0.4843154547242869,0.4980487214250933,0.4991788437349481,0.4990499001485245,0.4987425362018106,0.4990222230304511,0.4964423289337313,0.4992011669649917,0.4991125220050243,0.007679010252381898,0.4983266902085246,0.4984445217624224,0.4975771898553195,0.4974217667064252,0.4956392112478457,0.494452274813975,0.9471402391224959,0.0,0.994653708955955,0.4992950786381773,0.4987410440088141,0.4991279896687876,0.4992898549094398,0.499449102120641,0.4969722512748227,0.4995570278702992,0.4937215981776568,0.4970085513257403,0.4979712825168855,0.498815305759229,0.4979502814327009,0.4770679263504308,0.4708396370451662,0.4910373186625625,0.4947198151339566,0.4986377475227552,0.4878837341968598,0.494134806099936,0.49464927152017496,0.499547848496251,0.4993533062269948,0.4950625158314838,0.4961884234802442,0.4988193286131501,0.4988970822764065,0.4984626890965698
"You are very direct in thought, action, and speech and everyone knows how you feel.",0.8473052946456855,0.4969697219422372,0.4989660562361302,0.4926091944755863,0.9884551904251752,0.479865148537014,0.4933906657279571,0.9991996738232772,0.4448985327947296,0.4952043281238219,0.9820505461771428,0.9994808747847236,0.4951465833667973,0.8583156436903842,0.9674923961947384,0.9939732003025776,0.9993883538351088,0.10544033365046572,0.994653708955955,0.0,0.49865351549358,0.4995128868491619,0.4647923691394191,0.47763019602195,0.4114764444323398,0.4980085843096101,0.495676820285463,0.4994562562671331,0.9990207019344488,0.4834225858695968,0.4970151775339113,0.4874613263780964,0.485130497290312,0.9735250108064012,0.4761071342262061,0.9427065229900472,0.4888681631853125,0.996889758175742,0.4989435753969804,0.9953158998746722,0.5873733692981261,0.3724849839621093,0.4988337240037361,0.4966291900546276,0.4976551704783102,0.4883868310577623,0.4994694894057761
You can handle more of the workload than most around you.,0.4972263539924334,0.4908902611920023,0.4890850820995814,0.4943999796636738,0.4888539108093946,0.4916657999358477,0.4929844510174189,0.4972192715687802,0.4962733088133554,0.482130807920237,0.498759446939166,0.4982766734579603,0.4945642241917456,0.4887511046410648,0.7916740901185413,0.4968539403568607,0.8348233464482215,0.499370171222391,0.4992950786381773,0.49865351549358,0.0,0.4964068979916977,0.4950319426707746,0.4314449960806912,0.017637935310344962,0.4987549119377175,0.4955230566225757,0.4994887384333835,0.4745968701787402,0.4838491902441489,0.4986295336638407,0.4989135937059308,0.4695023584021991,0.4976879294475201,0.4962568721773517,0.4969805103923894,0.4764487666335543,0.4892888545841017,0.4934097432144954,0.4588009824262444,0.4967033950860179,0.4963804540123404,0.4994009585963409,0.4958940339468998,0.495694004073441,0.494433400806808,0.4912411423073295
You enjoy building and seeing the results of your hard work.,0.9626676578469006,0.4971879985747364,0.4886918529110245,0.4990952657971293,0.4960545112584066,0.4985603044330561,0.4959765263188434,0.4986443029762278,0.4989537342361939,0.4981612320723702,0.4943316168743264,0.4985897647883545,0.4971082144557424,0.4955759531876847,0.4633380602808083,0.4968509833586621,0.7926691196944333,0.4989136299235848,0.4987410440088141,0.4995128868491619,0.4964068979916977,0.0,0.4982046371612042,0.4757500597845673,0.4918683239319302,0.4963987786944274,0.4987091387075637,0.4995036908321056,0.5307493783459173,0.4976009585672829,0.4973665233137155,0.4981151649095069,0.4741350910173241,0.4960229018631915,0.4896372374915897,0.497201876554816,0.4988930953054035,0.499300512581755,0.4988312594853966,0.4956075030154458,0.4548334244942663,0.4992667840682392,0.49938077603126707,0.4992823379147665,0.9158023957532528,0.4932323528618001,0.4973768231505688
